URL,date,isCancelled,name,place,meetingUrl,year
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,9/12,,4° Trofeo Sprint di Chiavari,Chiavari (GE),https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134210:4%C2%B0-trofeo-chiavari-sprint.html,"2018"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,15/12,,12° Meeting SNEF,Sondrio,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134221:12%C2%B0-meeting-snef.html,"2018"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,15-16/12,,10° Memorial Brunelleschi,Ostia - RM,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134225:10%C2%B0-memorial-brunelleschi.html,"2018"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,---,Annullata,32° Meeting Trentino Master,Trento,,"2018"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,16/12,,2° Trofeo Città di Belluno,Belluno,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134629:2%C2%B0-trofeo-citta`-di-belluno-sezione-under-25.html,"2018"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,16/12,,7° Trofeo Coopernuoto,Parma,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134464:7%C2%B0-trofeo-coopernuoto.html,"2018"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,16/12,,20° Meeting degli Auguri,Livorno,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134239:20%C2%B0-meeting-degli-auguri.html,"2018"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,22/12,,Buon Natale Master 2018,Cagliari,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134514:buon-natale-master-2018.html,"2018"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,23/12,,13° Trofeo Mussi Lombardi Femiano,Lucca,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134240:13%C2%B0-trofeo-mussi-lombardi-femiano.html,"2018"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,12/01,,21° Trofeo Master DDS,Milano,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134632:21%C2%B0-trofeo-master-dds.html,"2019"
